position_id,instrumentation,opened,closed,duration_s,duration_min,side,volume,entry,exit,pnl,won,move_pts,move_pct,move_in_atr15,velocity_pts_min,mfe_pts,mae_pts,exit_reason,hour,weekday,spread_at_entry,M5_close,M5_atr,M5_vs_ema21,M5_ema_cross,M5_structure,M5_slope5,M5_donchian,M5_pct_of_range,M15_close,M15_atr,M15_vs_ema21,M15_ema_cross,M15_structure,M15_slope5,M15_donchian,M15_pct_of_range,H1_close,H1_atr,H1_vs_ema21,H1_ema_cross,H1_structure,H1_slope5,H1_donchian,H1_pct_of_range,H4_close,H4_atr,H4_vs_ema21,H4_ema_cross,H4_structure,H4_slope5,H4_donchian,H4_pct_of_range,M5_aligned,M15_aligned,H1_aligned,H4_aligned,entry_candle_dir,entry_candle_range,entry_body_pct,entry_upper_wick_pct,entry_lower_wick_pct,entry_tick_volume,entry_spread_pts
2949348300,False,2026-07-11T20:40:46,2026-07-11T20:42:13,87,1.4,BUY,0.01,64361.61,64377.78,0.16,True,16.2,0.0251,0.21,11.2,,,[tp 64377.78000],20,Saturday,10.0,64317.83,32.5,above,bull,LH_LL,36.2,inside,95.3,64300.86,73.5,above,bull,HH_HL,30.9,inside,80.5,64236.95,184.6,above,bull,LH_LL,-61.7,inside,66.9,64236.95,571.1,above,bull,mixed,119.8,inside,86.8,True,True,True,True,,,,,,,
2949352005,False,2026-07-11T20:42:14,2026-07-12T00:25:30,13396,223.3,BUY,0.01,64410.96,63790.74,-6.2,False,-620.2,-0.9629,-8.02,-2.8,,,,20,Saturday,10.0,64317.83,32.5,above,bull,LH_LL,36.2,inside,95.3,64300.86,73.5,above,bull,HH_HL,30.9,inside,80.5,64236.95,184.6,above,bull,LH_LL,-61.7,inside,66.9,64236.95,571.1,above,bull,mixed,119.8,inside,86.8,True,True,True,True,,,,,,,
2949579924,False,2026-07-12T01:14:10,2026-07-12T01:15:03,53,0.9,SELL,0.01,63884.95,63868.24,0.17,True,16.7,0.0262,0.11,18.9,,,[tp 63868.24000],1,Sunday,10.0,63906.56,97.8,above,bear,HH_HL,158.0,inside,78.1,63788.18,147.8,below,bear,HH_HL,-127.5,inside,18.6,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,True,True,False,,,,,,,
2949580251,False,2026-07-12T01:15:04,2026-07-12T01:42:39,1655,27.6,SELL,0.01,63852.95,64123.43,-2.7,False,-270.5,-0.4236,-1.67,-9.8,,,,1,Sunday,10.0,63877.06,93.2,above,bear,HH_HL,130.2,inside,69.4,63877.06,157.5,below,bear,HH_HL,104.1,inside,30.1,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,True,True,False,,,,,,,
2949595421,False,2026-07-12T01:42:39,2026-07-12T01:42:53,14,0.2,SELL,0.01,64113.45,64132.76,-0.2,False,-19.3,-0.0301,-0.11,-82.8,,,,1,Sunday,10.0,64030.37,87.0,above,bull,HH_HL,153.3,breakout_up,120.3,63908.49,161.5,below,bear,HH_HL,160.3,inside,34.1,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,True,True,False,,,,,,,
2949595519,False,2026-07-12T01:42:54,2026-07-12T01:43:23,29,0.5,SELL,0.01,64122.74,64114.37,0.09,True,8.4,0.0131,0.05,17.3,,,,1,Sunday,10.0,64030.37,87.0,above,bull,HH_HL,153.3,breakout_up,120.3,63908.49,161.5,below,bear,HH_HL,160.3,inside,34.1,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,True,True,False,,,,,,,
2949595691,False,2026-07-12T01:43:24,2026-07-12T01:44:53,89,1.5,SELL,0.01,64113.16,64113.23,0.0,False,-0.1,-0.0001,-0.0,-0.0,,,,1,Sunday,10.0,64030.37,87.0,above,bull,HH_HL,153.3,breakout_up,120.3,63908.49,161.5,below,bear,HH_HL,160.3,inside,34.1,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,True,True,False,,,,,,,
2949596425,False,2026-07-12T01:44:54,2026-07-12T01:45:22,28,0.5,SELL,0.01,64103.26,64130.65,-0.28,False,-27.4,-0.0427,-0.16,-58.7,,,,1,Sunday,10.0,64030.37,87.0,above,bull,HH_HL,153.3,breakout_up,120.3,63908.49,161.5,below,bear,HH_HL,160.3,inside,34.1,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,True,True,False,,,,,,,
2949596574,False,2026-07-12T01:45:23,2026-07-12T01:49:49,266,4.4,SELL,0.01,64120.68,64087.72,0.33,True,33.0,0.0514,0.2,7.4,,,,1,Sunday,10.0,64111.99,82.4,above,bull,HH_HL,166.2,breakout_up,118.3,64111.99,172.5,above,bear,HH_HL,326.4,inside,60.4,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,False,True,False,,,,,,,
2949598008,False,2026-07-12T01:49:50,2026-07-12T01:50:05,15,0.2,SELL,0.01,64077.34,64096.86,-0.2,False,-19.5,-0.0305,-0.12,-78.1,,,,1,Sunday,10.0,64111.99,82.4,above,bull,HH_HL,166.2,breakout_up,118.3,64111.99,172.5,above,bear,HH_HL,326.4,inside,60.4,63788.18,225.4,below,bear,LH_LL,-448.8,inside,3.2,63772.93,559.3,above,bull,mixed,-334.2,inside,72.2,False,False,True,False,,,,,,,
2949793698,False,2026-07-12T09:30:29,2026-07-12T09:32:18,109,1.8,BUY,0.01,63798.09,63820.63,0.23,True,22.5,0.0353,0.2,12.4,,,[tp 63820.63000],9,Sunday,10.0,63781.98,48.9,below,bear,HH_HL,-150.2,inside,19.6,63781.98,116.0,below,bear,LH_LL,-221.5,inside,33.3,63940.74,234.4,below,bear,HH_HL,-241.0,inside,40.1,63834.27,549.6,above,bull,mixed,-304.9,inside,72.8,False,False,False,True,,,,,,,
2949809927,False,2026-07-12T09:45:01,2026-07-12T10:03:38,1117,18.6,SELL,0.01,63958.05,63890.5,0.67,True,67.6,0.1056,0.62,3.6,,,[tp 63890.50000],9,Sunday,10.0,63958.03,61.0,above,bear,HH_HL,158.4,inside,69.2,63958.03,115.1,above,bear,HH_HL,10.8,inside,77.3,63940.74,234.4,below,bear,HH_HL,-241.0,inside,40.1,63834.27,549.6,above,bull,mixed,-304.9,inside,72.8,False,False,True,False,,,,,,,
