symbol,tf,state,k,nA,meanA_bp,tA,eocA,nB,meanB_bp,tB,eocB,same_sign,cost_bp
JP225m,M15,bigmove_up,1,617,2.9512483470440007,2.2189779727677137,1.0036229640116017,661,-0.28629075246358365,-0.2913942285591317,0.09735811418391953,False,2.9405946783516255
JP225m,M15,bigmove_up,4,617,1.7443205481251054,0.7467529118735446,0.593186324169946,661,2.5791668046341414,1.4660255302642906,0.8770902102291482,True,2.9405946783516255
JP225m,M15,bigmove_down,1,715,-0.6470574861884255,-0.539624051420635,0.2200430718833848,680,-0.3334082859823252,-0.29419465322914695,0.11338124510557163,True,2.9405946783516255
JP225m,M15,bigmove_down,4,715,-2.4475821023215776,-1.0996480432066744,0.832342559938791,680,0.0463424834921057,0.02294520027703143,0.01575956177615181,False,2.9405946783516255
JP225m,M15,hivol,1,6449,-0.15138519560718122,-0.511390216030106,0.05148114995979026,7059,0.6689361831482384,2.7519373576725226,0.22748330059660454,False,2.9405946783516255
JP225m,M15,hivol,4,6449,-0.6055142969192063,-1.002790994827466,0.20591559298428452,7059,2.384413233331434,5.189069515569306,0.8108608952077805,False,2.9405946783516255
JP225m,M15,lovol,1,7015,0.014223758208519796,0.08922848115922828,0.004837034601617739,6631,0.005444077506523914,0.02725970718669166,0.0018513525670853885,True,2.9405946783516255
JP225m,M15,lovol,4,7015,0.33521108547445366,1.04576935215745,0.1139943182044929,6628,-0.33963646325400154,-0.8216131746254393,0.11549924433801519,False,2.9405946783516255
JP225m,M15,session_open,1,1108,0.03588290305045563,0.0885319345743827,0.012202600825820064,1100,0.049960933103095205,0.09040952482197005,0.016990078051525692,True,2.9405946783516255
JP225m,M15,session_open,4,1108,-2.6290549531938296,-2.776562958119129,0.8940555366398093,1100,0.48264751940121764,0.3949153385002086,0.1641326235657101,False,2.9405946783516255
JP225m,M15,all_bars,1,25000,0.007341046288345865,0.06618898310397595,0.0024964495591282745,24999,0.18622244406311392,1.6516046607773545,0.06332815788386804,True,2.9405946783516255
JP225m,M15,all_bars,4,25000,0.029046458101387174,0.1271560973190254,0.009877749665815694,24996,0.747489479145562,3.32885884394721,0.2541967053972135,True,2.9405946783516255
JP225m,H1,bigmove_up,1,336,-0.039512967355931614,-0.01307257784429865,0.01122562173674555,396,-4.584051318019578,-1.7372585184003682,1.3023275537465488,True,3.5198912169462537
JP225m,H1,bigmove_up,4,336,-5.531170431657987,-1.1047119174883824,1.5714037993641905,396,-5.035423718059395,-1.1344804461440665,1.4305623122148556,True,3.5198912169462537
JP225m,H1,bigmove_down,1,443,-1.1567753854446148,-0.2903162230882636,0.3286395272318093,437,-6.108444835003952,-2.3288857953207196,1.7354072778145242,True,3.5198912169462537
JP225m,H1,bigmove_down,4,443,-1.239440954690672,-0.1713778693861361,0.35212478974448863,437,-2.516831654584405,-0.6054552162820507,0.7150310902982759,True,3.5198912169462537
JP225m,H1,hivol,1,3697,-0.08773054887624018,-0.17950449492512516,0.024924221650336236,3975,0.9342992825450961,1.2873424932787363,0.26543413559117446,False,3.5198912169462537
JP225m,H1,hivol,4,3697,-0.16910738417129242,-0.1754566420035681,0.048043355248349025,3972,3.227631856011608,2.258894191528014,0.9169692064551356,False,3.5198912169462537
JP225m,H1,lovol,1,4065,0.30450809568317727,0.9768132248274728,0.08651065527739771,3996,-0.023227148411797904,-0.05868694823835539,0.006598825639830155,False,3.5198912169462537
JP225m,H1,lovol,4,4065,1.0310087118538291,1.5611423076402031,0.292909254379827,3996,-0.41129028038208165,-0.4978267695665707,0.11684744073963288,False,3.5198912169462537
JP225m,H1,session_open,1,1233,1.5208067519534079,0.5620470331386943,0.4320607252382111,600,-0.4696140831207766,-0.2907048168923205,0.13341721495819378,False,3.5198912169462537
JP225m,H1,session_open,4,1233,7.9554720642259715,1.5330405523702413,2.260147139185707,600,-0.8776145410463343,-0.2853108532918652,0.24933001816110809,False,3.5198912169462537
JP225m,H1,all_bars,1,14637,0.3504598002666936,1.1798478950758535,0.09956552025796452,14636,0.3900917860928356,1.3855429233919248,0.11082495510508047,True,3.5198912169462537
