symbol,tf,q,bars,days,vr_A,z_A,vr_B,z_B,same_sign,both_sig,edge_over_cost_A,edge_over_cost_B,cost_frac_bp
JP225m,M5,2,50000,259,1.0163366451525235,1.0988510663431639,1.0088386683992148,0.8087856909604096,True,False,0.2393721694117009,0.14180939930090092,1.0326149727764218
JP225m,M5,4,50000,259,1.0013769997311668,0.04945538420610955,1.0241243593178473,1.2258826902859723,True,False,0.028533801339193594,0.5473800473947449,1.0326149727764218
JP225m,M5,8,50000,259,0.9861159615220062,-0.3246904022252513,1.0411287373854015,1.3844316311846783,False,False,0.40687085746727253,1.3197557096149108,1.0326149727764218
JP225m,M5,16,50000,259,0.9671150068213299,-0.5462664545311099,1.0628271125705815,1.5046858669083525,False,False,1.3628671686171263,2.8510856933819415,1.0326149727764218
JP225m,M15,2,50000,777,1.0337941494703882,1.3673193435638435,0.9950924661661948,-0.3840126104419881,False,False,0.2850178108448811,0.0420747947809854,2.9405946783516255
JP225m,M15,4,50000,777,1.0607454453449758,1.4481256387081793,0.9915344474712784,-0.38045396002535,False,False,0.7245347129146226,0.10264292289334209,2.9405946783516255
JP225m,M15,8,50000,777,1.083500581761914,1.425233767388347,1.0002282226418402,0.006918417375989032,True,False,1.4084777034503304,0.003913338611607693,2.9405946783516255
JP225m,M15,16,50000,777,1.0329472545491736,0.4186421584902705,1.012798784786531,0.27813497352583466,True,False,0.7859496125361715,0.31036478139265905,2.9405946783516255
JP225m,H1,2,29274,2577,0.9733101400297041,-0.45417656298551135,1.008999683265953,0.49742160110317774,False,False,0.3853762107534803,0.1231562349959342,3.5198912169462537
JP225m,H1,4,29274,2577,0.9710643189625121,-0.2904146913095776,0.9997679101982407,-0.006299294197874242,True,False,0.5908637048218638,0.004491591319642619,3.5198912169462537
JP225m,H1,8,29274,2577,0.9898841632081756,-0.0706252954080792,0.9630804937825462,-0.6611624702192528,True,False,0.29212613747487515,1.0104505345987103,3.5198912169462537
JP225m,H1,16,29274,2577,1.0143659761406216,0.0702710775015334,0.9574944013050911,-0.5540237409780949,False,False,0.5867035840513348,1.6452060942539652,3.5198912169462537
JP225m,H4,2,8479,2577,0.9680896352241946,-0.532013883445985,0.9800153321451711,-0.8710880267938961,True,False,0.8770008327104513,0.5261775815606565,3.407545347485451
JP225m,H4,4,8479,2577,0.9570558817611008,-0.4215772256262483,0.9719836464808473,-0.6113131032635939,True,False,1.66911755438355,1.0431866304699222,3.407545347485451
JP225m,H4,8,8479,2577,0.97518365782767,-0.1689758384519675,0.9140755110706298,-1.1448135240827373,True,False,1.3640679386067305,4.524622586686322,3.407545347485451
JP225m,H4,16,8479,2577,1.0085480981780541,0.040693382020154,0.8735251817194871,-1.1255682805346638,False,False,0.6644812519475737,9.418559016336562,3.407545347485451
XAUUSDm,M5,2,50000,259,1.0238039050265797,1.1950569586293434,0.998670722243897,-0.1244381192171108,False,False,0.8308755178495951,0.0336190956370039,0.5289225494611673
XAUUSDm,M5,4,50000,259,1.030068407084792,0.8198731587655498,0.9944209032206511,-0.29380511528851777,False,False,1.4842708995926372,0.1995488283319494,0.5289225494611673
XAUUSDm,M5,8,50000,259,1.0326865217666361,0.5884763123299035,0.9996119320759361,-0.01330830547569467,False,False,2.2818466692108244,0.019629445528381643,0.5289225494611673
XAUUSDm,M5,16,50000,259,1.0070412921543421,0.09130303691050642,0.9940089586051275,-0.14354995957501163,False,False,0.6951605391498068,0.4285658909019826,0.5289225494611673
XAUUSDm,M15,2,50000,772,0.9999779438324101,-0.002027129744292678,0.9993690683094091,-0.03163629586352056,True,False,0.0007134359303963526,0.035254919270131496,0.45292249685294367
XAUUSDm,M15,4,50000,772,1.0140961524998064,0.6804008103030644,0.9901760859632048,-0.2752017785113651,False,False,0.6448229884789574,0.7763131345579855,0.45292249685294367
XAUUSDm,M15,8,50000,772,0.9973982321171933,-0.08136816607772993,0.9582088776579214,-0.7776406803223032,True,False,0.16831525083236545,4.670371345583431,0.45292249685294367
XAUUSDm,M15,16,50000,772,1.001878285446883,0.04166563796230486,0.9310452365591718,-0.9164890703150609,False,False,0.17184286777435226,10.897996124346552,0.45292249685294367
XAUUSDm,H1,2,30734,2954,0.9792162426695363,-0.7159249546010465,0.9828269193627213,-0.9093619982508442,True,False,1.0523246482200588,0.8482364985589032,0.7811314948502593
XAUUSDm,H1,4,30734,2954,1.0087062488818501,0.160999101227028,0.9681355660425685,-0.9275337718957306,False,False,0.623407116555413,2.2258195486680123,0.7811314948502593
