symbol,price,mode,swap_long_raw,swap_short_raw,long_%/night,short_%/night,pair_%/night,pair_%/year,spread_%,breakeven_nights,rollover,d1_bars,hist_days,first_bar
TSLAm,304.67,POINTS,-5.0,-4.2,-0.0164111990021991,-0.013785407161847243,-0.030196606164046343,-11.021761249876915,0.036104637804838025,1.1956521739130437,Fri,1505,2187,2020-08-03
AMZNm,238.7,POINTS,-3.8,-3.2,-0.015919564306661083,-0.013405948889819858,-0.02932551319648094,-10.703812316715544,0.029325513196480944,1.0000000000000002,Fri,1602,2327,2020-03-16
INTCm,91.73,POINTS,-1.4,-21.6,-0.015262182492096368,-0.23547367273520114,-0.2507358552272975,-91.5185871579636,0.10901558922925979,0.43478260869565216,Fri,1602,2327,2020-03-16
TSMm,400.92,POINTS,-6.2,-5.2,-0.01546443180684426,-0.01297016861219196,-0.02843460041903622,-10.37862915294822,0.07482789583956899,2.631578947368421,Fri,1215,1767,2021-09-27
ORCLm,124.79,POINTS,-1.9,-7.4,-0.01522557897267409,-0.05929962336725699,-0.07452520233993108,-27.201698854074845,0.11218847664075647,1.5053763440860215,Fri,1602,2327,2020-03-16
AVGOm,383.81,POINTS,-6.2,-16.5,-0.016153826111878274,-0.042990021104192186,-0.05914384721607046,-21.58750423386572,0.08598004220838437,1.4537444933920705,Fri,1412,2054,2020-12-14
AAPLm,332.02,POINTS,-5.6,-4.7,-0.016866453828082644,-0.014155773748569363,-0.031022227576652007,-11.323113065477983,0.048189868080236134,1.5533980582524274,Fri,1673,2435,2019-11-29
MSm,208.19,POINTS,-3.4,-9.5,-0.01633123589029252,-0.04563139439934675,-0.06196263028963927,-22.61636005571833,0.06724626543061628,1.0852713178294577,Fri,1602,2327,2020-03-16
ADBEm,247.4,POINTS,-4.3,-3.6,-0.017380759902991108,-0.014551333872271628,-0.03193209377526274,-11.6552142279709,0.08488278092158448,2.6582278481012653,Fri,1412,2054,2020-12-14
NVDAm,192.74,POINTS,-3.2,-3.1,-0.016602677181695547,-0.016083843519767566,-0.03268652070146311,-11.930580056034037,0.08301338590847775,2.5396825396825395,Fri,1663,2418,2019-12-16
CSCOm,113.03,POINTS,-1.9,-19.8,-0.016809696540741395,-0.17517473237193665,-0.19198442891267803,-70.07431655312747,0.08847208705653367,0.4608294930875577,Fri,1602,2327,2020-03-16
INTUm,310.42,POINTS,-5.4,-20.2,-0.01739578635397204,-0.06507312673152502,-0.08246891308549706,-30.101153276206425,0.10308614135687133,1.25,Fri,1412,2054,2020-12-14
HDm,332.36,POINTS,-5.6,-4.7,-0.016849199663016005,-0.014141292574317005,-0.03099049223733301,-11.311529666626548,0.06920207004453002,2.233009708737864,Fri,1412,2054,2020-12-14
IBMm,220.61,POINTS,-3.7,-4.5,-0.0167716785277186,-0.02039798739857667,-0.03716966592629527,-13.566928063097773,0.145052354834323,3.902439024390244,Fri,1412,2054,2020-12-14
AMDm,481.87,POINTS,-7.1,-5.9,-0.01473426442816527,-0.01224396621495424,-0.026978230643119508,-9.84705418473862,0.19922385705688256,7.384615384615386,Fri,1602,2327,2020-03-16
GOOGLm,334.35,POINTS,-5.5,-4.6,-0.016449828024525198,-0.013758037984148345,-0.03020786600867354,-11.025871093165842,0.09570809032451025,3.168316831683169,Fri,1602,2327,2020-03-16
PEPm,139.62,POINTS,-2.4,-2.0,-0.017189514396218304,-0.014324595330181922,-0.03151410972640023,-11.502650050136085,0.07162297665090962,2.272727272727273,Fri,1412,2054,2020-12-14
MCDm,267.8,POINTS,-4.5,-19.0,-0.016803584764749812,-0.07094846900672143,-0.08775205377147124,-32.029499626587004,0.059746079163554885,0.6808510638297872,Fri,1602,2327,2020-03-16
MSFTm,452.76,POINTS,-6.5,-6.8,-0.014356391907412315,-0.015018994610831348,-0.029375386518243663,-10.722016079158937,0.07067762169802987,2.406015037593985,Fri,1602,2327,2020-03-16
