time_msc,time,bid,ask,last,volume,flags
1785801596384,1785801596,63465.44,63475.44,0.0,0,6
1785801597417,1785801597,63462.09,63472.09,0.0,0,6
1785801598485,1785801598,63457.56,63467.56,0.0,0,6
1785801599576,1785801599,63457.94,63467.94,0.0,0,6
1785801600588,1785801600,63457.59,63467.59,0.0,0,6
1785801601629,1785801601,63459.01,63469.01,0.0,0,6
1785801601880,1785801601,63462.88,63472.88,0.0,0,6
1785801601891,1785801601,63466.73,63476.73,0.0,0,6
1785801602947,1785801602,63468.74,63478.74,0.0,0,6
1785801603965,1785801603,63469.66,63479.66,0.0,0,6
1785801604352,1785801604,63471.67,63481.67,0.0,0,6
1785801604372,1785801604,63474.67,63484.67,0.0,0,6
1785801604388,1785801604,63476.14,63486.14,0.0,0,6
1785801604458,1785801604,63478.25,63488.25,0.0,0,6
1785801605458,1785801605,63477.79,63487.79,0.0,0,6
1785801605636,1785801605,63476.35,63486.35,0.0,0,6
1785801605906,1785801605,63467.73,63477.73,0.0,0,6
1785801605946,1785801605,63466.02,63476.02,0.0,0,6
1785801605979,1785801605,63463.16,63473.16,0.0,0,6
1785801606006,1785801606,63461.41,63471.41,0.0,0,6
1785801606106,1785801606,63459.51,63469.51,0.0,0,6
1785801606147,1785801606,63457.71,63467.71,0.0,0,6
1785801606526,1785801606,63459.02,63469.02,0.0,0,6
1785801606596,1785801606,63456.62,63466.62,0.0,0,6
1785801606606,1785801606,63455.21,63465.21,0.0,0,6
1785801606617,1785801606,63453.46,63463.46,0.0,0,6
1785801607643,1785801607,63452.54,63462.54,0.0,0,6
1785801608649,1785801608,63454.11,63464.11,0.0,0,6
1785801608969,1785801608,63451.33,63461.33,0.0,0,6
1785801609077,1785801609,63447.9,63457.9,0.0,0,6
1785801610507,1785801610,63447.63,63457.63,0.0,0,6
1785801611157,1785801611,63446.32,63456.32,0.0,0,6
1785801611206,1785801611,63443.75,63453.75,0.0,0,6
1785801611266,1785801611,63441.6,63451.6,0.0,0,6
1785801611358,1785801611,63439.66,63449.66,0.0,0,6
1785801612435,1785801612,63436.95,63446.95,0.0,0,6
1785801613566,1785801613,63437.06,63447.06,0.0,0,6
1785801614386,1785801614,63435.24,63445.24,0.0,0,6
1785801615419,1785801615,63434.68,63444.68,0.0,0,6
1785801616437,1785801616,63434.4,63444.4,0.0,0,6
1785801617452,1785801617,63433.41,63443.41,0.0,0,6
1785801618458,1785801618,63434.88,63444.88,0.0,0,6
1785801619469,1785801619,63434.63,63444.63,0.0,0,6
1785801620480,1785801620,63435.55,63445.55,0.0,0,6
1785801621489,1785801621,63436.57,63446.57,0.0,0,6
1785801622494,1785801622,63434.82,63444.82,0.0,0,6
1785801623599,1785801623,63434.31,63444.31,0.0,0,6
1785801624649,1785801624,63434.06,63444.06,0.0,0,6
1785801625686,1785801625,63433.49,63443.49,0.0,0,6
1785801626694,1785801626,63432.72,63442.72,0.0,0,6
1785801627248,1785801627,63432.53,63442.53,0.0,0,6
1785801627877,1785801627,63428.44,63438.44,0.0,0,6
1785801627971,1785801627,63425.95,63435.95,0.0,0,6
1785801628060,1785801628,63423.55,63433.55,0.0,0,6
1785801628636,1785801628,63423.3,63433.3,0.0,0,6
1785801628659,1785801628,63421.4,63431.4,0.0,0,6
1785801629676,1785801629,63423.08,63433.08,0.0,0,6
1785801630677,1785801630,63422.1,63432.1,0.0,0,6
1785801630747,1785801630,63417.35,63427.35,0.0,0,6
1785801631795,1785801631,63419.42,63429.42,0.0,0,6
1785801632808,1785801632,63416.54,63426.54,0.0,0,6
1785801633837,1785801633,63415.27,63425.27,0.0,0,6
1785801634986,1785801634,63416.09,63426.09,0.0,0,6
1785801635027,1785801635,63424.46,63434.46,0.0,0,6
1785801635047,1785801635,63426.31,63436.31,0.0,0,6
1785801635059,1785801635,63427.83,63437.83,0.0,0,6
1785801635087,1785801635,63429.93,63439.93,0.0,0,6
1785801635297,1785801635,63435.77,63445.77,0.0,0,6
1785801635661,1785801635,63439.37,63449.37,0.0,0,6
1785801636794,1785801636,63438.95,63448.95,0.0,0,6
1785801637807,1785801637,63439.69,63449.69,0.0,0,6
1785801638087,1785801638,63443.2,63453.2,0.0,0,6
1785801639266,1785801639,63441.91,63451.91,0.0,0,6
1785801640087,1785801640,63440.39,63450.39,0.0,0,6
1785801640107,1785801640,63438.28,63448.28,0.0,0,6
1785801641126,1785801641,63435.25,63445.25,0.0,0,6
1785801642128,1785801642,63437.65,63447.65,0.0,0,6
1785801643167,1785801643,63436.58,63446.58,0.0,0,6
1785801644174,1785801644,63436.83,63446.83,0.0,0,6
1785801645182,1785801645,63438.34,63448.34,0.0,0,6
1785801645857,1785801645,63428.79,63438.79,0.0,0,6
1785801645919,1785801645,63426.08,63436.08,0.0,0,6
1785801647041,1785801647,63429.09,63439.09,0.0,0,6
1785801648097,1785801648,63427.7,63437.7,0.0,0,6
1785801650023,1785801650,63425.76,63435.76,0.0,0,6
1785801651093,1785801651,63426.49,63436.49,0.0,0,6
1785801652094,1785801652,63425.88,63435.88,0.0,0,6
1785801653093,1785801653,63425.23,63435.23,0.0,0,6
1785801654221,1785801654,63423.95,63433.95,0.0,0,6
1785801655315,1785801655,63423.34,63433.34,0.0,0,6
1785801656351,1785801656,63423.61,63433.61,0.0,0,6
1785801657388,1785801657,63424.51,63434.51,0.0,0,6
1785801658406,1785801658,63424.68,63434.68,0.0,0,6
1785801659423,1785801659,63425.54,63435.54,0.0,0,6
1785801660435,1785801660,63425.88,63435.88,0.0,0,6
1785801661481,1785801661,63424.81,63434.81,0.0,0,6
1785801662490,1785801662,63422.09,63432.09,0.0,0,6
1785801663512,1785801663,63421.48,63431.48,0.0,0,6
1785801664519,1785801664,63421.0,63431.0,0.0,0,6
1785801665525,1785801665,63420.98,63430.98,0.0,0,6
1785801666532,1785801666,63421.89,63431.89,0.0,0,6
1785801667536,1785801667,63421.45,63431.45,0.0,0,6
1785801667694,1785801667,63420.0,63430.0,0.0,0,6
1785801667704,1785801667,63418.13,63428.13,0.0,0,6
1785801668825,1785801668,63417.11,63427.11,0.0,0,6
1785801669957,1785801669,63419.38,63429.38,0.0,0,6
1785801671045,1785801671,63420.32,63430.32,0.0,0,6
1785801672093,1785801672,63420.5,63430.5,0.0,0,6
1785801673093,1785801673,63424.95,63434.95,0.0,0,6
1785801674106,1785801674,63424.96,63434.96,0.0,0,6
1785801674577,1785801674,63430.51,63440.51,0.0,0,6
1785801674589,1785801674,63432.51,63442.51,0.0,0,6
1785801675108,1785801675,63434.19,63444.19,0.0,0,6
1785801675130,1785801675,63436.63,63446.63,0.0,0,6
1785801675156,1785801675,63438.13,63448.13,0.0,0,6
1785801677197,1785801677,63438.1,63448.1,0.0,0,6
1785801677371,1785801677,63440.79,63450.79,0.0,0,6
1785801677391,1785801677,63442.08,63452.08,0.0,0,6
1785801677508,1785801677,63443.48,63453.48,0.0,0,6
1785801677519,1785801677,63445.08,63455.08,0.0,0,6
1785801677556,1785801677,63447.08,63457.08,0.0,0,6
1785801678612,1785801678,63446.26,63456.26,0.0,0,6
1785801679666,1785801679,63445.48,63455.48,0.0,0,6
1785801680686,1785801680,63445.29,63455.29,0.0,0,6
1785801680788,1785801680,63437.27,63447.27,0.0,0,6
1785801681828,1785801681,63439.03,63449.03,0.0,0,6
1785801682847,1785801682,63438.26,63448.26,0.0,0,6
1785801683915,1785801683,63439.05,63449.05,0.0,0,6
1785801684615,1785801684,63446.22,63456.22,0.0,0,6
1785801685765,1785801685,63446.14,63456.14,0.0,0,6
1785801686270,1785801686,63441.53,63451.53,0.0,0,6
1785801686285,1785801686,63438.23,63448.23,0.0,0,6
1785801688338,1785801688,63438.5,63448.5,0.0,0,6
1785801690007,1785801690,63437.29,63447.29,0.0,0,6
1785801690017,1785801690,63435.9,63445.9,0.0,0,6
1785801690034,1785801690,63433.62,63443.62,0.0,0,6
1785801690163,1785801690,63432.23,63442.23,0.0,0,6
1785801690224,1785801690,63430.83,63440.83,0.0,0,6
1785801691477,1785801691,63430.84,63440.84,0.0,0,6
1785801691662,1785801691,63427.83,63437.83,0.0,0,6
1785801691679,1785801691,63426.43,63436.43,0.0,0,6
1785801691778,1785801691,63424.74,63434.74,0.0,0,6
1785801692783,1785801692,63424.54,63434.54,0.0,0,6
1785801693829,1785801693,63423.29,63433.29,0.0,0,6
1785801694858,1785801694,63421.49,63431.49,0.0,0,6
1785801696032,1785801696,63420.01,63430.01,0.0,0,6
1785801697188,1785801697,63421.0,63431.0,0.0,0,6
1785801698093,1785801698,63417.06,63427.06,0.0,0,6
1785801699220,1785801699,63417.59,63427.59,0.0,0,6
1785801700445,1785801700,63418.82,63428.82,0.0,0,6
1785801701173,1785801701,63417.41,63427.41,0.0,0,6
1785801701226,1785801701,63415.64,63425.64,0.0,0,6
1785801701242,1785801701,63413.94,63423.94,0.0,0,6
1785801701286,1785801701,63412.54,63422.54,0.0,0,6
1785801702318,1785801702,63409.25,63419.25,0.0,0,6
1785801703336,1785801703,63410.1,63420.1,0.0,0,6
1785801703707,1785801703,63412.17,63422.17,0.0,0,6
1785801703718,1785801703,63420.21,63430.21,0.0,0,6
1785801704805,1785801704,63420.53,63430.53,0.0,0,6
1785801706066,1785801706,63419.15,63429.15,0.0,0,6
1785801707106,1785801707,63418.77,63428.77,0.0,0,6
1785801707831,1785801707,63420.95,63430.95,0.0,0,6
1785801707855,1785801707,63423.05,63433.05,0.0,0,6
1785801707904,1785801707,63424.45,63434.45,0.0,0,6
1785801708423,1785801708,63424.32,63434.32,0.0,0,6
1785801708435,1785801708,63425.62,63435.62,0.0,0,6
1785801708459,1785801708,63428.72,63438.72,0.0,0,6
1785801709483,1785801709,63428.59,63438.59,0.0,0,6
1785801710594,1785801710,63429.01,63439.01,0.0,0,6
1785801711669,1785801711,63428.18,63438.18,0.0,0,6
1785801712690,1785801712,63432.45,63442.45,0.0,0,6
1785801713721,1785801713,63432.56,63442.56,0.0,0,6
1785801713746,1785801713,63435.39,63445.39,0.0,0,6
1785801713758,1785801713,63437.14,63447.14,0.0,0,6
1785801714092,1785801714,63439.11,63449.11,0.0,0,6
1785801716175,1785801716,63438.28,63448.28,0.0,0,6
1785801717209,1785801717,63437.92,63447.92,0.0,0,6
1785801717874,1785801717,63439.01,63449.01,0.0,0,6
1785801717887,1785801717,63440.86,63450.86,0.0,0,6
1785801717935,1785801717,63442.86,63452.86,0.0,0,6
1785801718793,1785801718,63442.2,63452.2,0.0,0,6
1785801719387,1785801719,63446.29,63456.29,0.0,0,6
1785801720411,1785801720,63447.11,63457.11,0.0,0,6
1785801721184,1785801721,63447.21,63457.21,0.0,0,6
1785801721197,1785801721,63448.91,63458.91,0.0,0,6
1785801722206,1785801722,63448.79,63458.79,0.0,0,6
1785801722618,1785801722,63452.45,63462.45,0.0,0,6
1785801723188,1785801723,63453.76,63463.76,0.0,0,6
1785801723205,1785801723,63455.91,63465.91,0.0,0,6
1785801723224,1785801723,63459.01,63469.01,0.0,0,6
1785801723677,1785801723,63460.91,63470.91,0.0,0,6
1785801723696,1785801723,63462.5,63472.5,0.0,0,6
1785801725066,1785801725,63459.42,63469.42,0.0,0,6
1785801726093,1785801726,63459.57,63469.57,0.0,0,6
1785801727436,1785801727,63459.74,63469.74,0.0,0,6
1785801728486,1785801728,63459.87,63469.87,0.0,0,6
