t_local,mt5_ms,mt5_bid,mt5_ask,okx_ms,okx_last,okx_bid,okx_ask,bid_sz1,ask_sz1,bid_sz5,ask_sz5,fetch_ms
2026-07-31T20:29:38.899+00:00,1785529776715,62934.4,62944.4,1785529777452,63006.25,63006.2,63006.3,2.69170483,1.48951082,3.72737908,2.08953904,394.0
2026-07-31T20:29:41.294+00:00,1785529778768,62934.42,62944.42,1785529779852,63006.25,63006.2,63006.3,2.62490677,1.03871276,3.66058102,1.6387409800000001,392.8
2026-07-31T20:29:43.644+00:00,1785529781968,62934.45,62944.45,1785529782202,63006.25,63006.2,63006.3,2.62490677,0.96812973,3.66058102,1.3253546200000001,346.7
2026-07-31T20:29:46.051+00:00,1785529783053,62934.46,62944.46,1785529784602,63006.25,63006.2,63006.3,2.62490677,1.03212973,3.66058102,1.3893546200000002,404.4
2026-07-31T20:29:48.398+00:00,1785529786108,62935.89,62945.89,1785529786952,63006.25,63006.2,63006.3,2.53347802,0.94174312,3.56915227,1.29896801,341.2
2026-07-31T20:29:50.756+00:00,1785529788269,62935.99,62945.99,1785529789302,63006.25,63006.2,63006.3,2.53080104,0.89665921,3.56647529,1.2538841,356.6
2026-07-31T20:29:53.095+00:00,1785529791482,62938.06,62948.06,1785529791652,63006.25,63006.2,63006.3,2.53080104,0.82785523,3.56647529,1.48508003,337.5
2026-07-31T20:29:55.457+00:00,1785529793643,62935.98,62945.98,1785529794002,63006.25,63006.2,63006.3,2.53080104,0.88945508,3.59030207,1.54667988,357.2
2026-07-31T20:29:57.851+00:00,1785529795703,62938.37,62948.37,1785529796402,63006.25,63006.2,63006.3,2.53080104,0.82425508,3.59030207,1.48147988,391.0
2026-07-31T20:30:00.189+00:00,1785529797713,62938.66,62948.66,1785529798752,63006.25,63006.2,63006.3,2.5289188,0.82016641,3.58841983,1.47739121,335.7
2026-07-31T20:30:02.547+00:00,1785529800939,62937.68,62947.68,1785529801102,63006.25,63006.2,63006.3,2.68735399,0.84041707,3.72302824,1.49764187,347.4
2026-07-31T20:30:04.893+00:00,1785529803054,62938.36,62948.36,1785529803452,63006.25,63006.2,63006.3,2.04539822,1.84231885,3.08107247,2.69396281,343.6
2026-07-31T20:30:07.250+00:00,1785529805403,62940.0,62950.0,1785529805802,63006.25,63006.2,63006.3,2.84739822,1.55751885,3.88307247,2.21474365,351.3
2026-07-31T20:30:09.645+00:00,1785529807507,62942.65,62952.65,1785529808202,63006.25,63006.2,63006.3,2.8438065,0.83532707,3.87948075,1.49255187,393.2
2026-07-31T20:30:11.997+00:00,1785529809733,62946.03,62956.03,1785529810552,63006.25,63006.2,63006.3,2.81530022,1.30341327,4.13034363,1.9606540000000001,348.6
2026-07-31T20:30:14.351+00:00,1785529811825,62946.22,62956.22,1785529812902,63006.25,63006.2,63006.3,2.81530022,1.47508882,3.91484386,2.37584345,353.8
2026-07-31T20:30:16.696+00:00,1785529815192,62943.62,62953.62,1785529815252,63006.25,63006.2,63006.3,2.81530022,1.47715614,3.91484386,2.3779107699999997,343.7
2026-07-31T20:30:19.047+00:00,1785529817306,62946.11,62956.11,1785529817602,63006.25,63006.2,63006.3,2.82294648,1.47715764,3.78061384,2.37791227,348.4
2026-07-31T20:30:21.403+00:00,1785529819367,62946.04,62956.04,1785529819952,63006.25,63006.2,63006.3,1.20326451,1.77601136,1.57688029,2.55915671,354.3
2026-07-31T20:30:23.806+00:00,1785529821360,62932.33,62942.33,1785529822352,63006.25,63006.2,63006.3,0.37528889,2.53601136,1.1318955099999999,3.3191567099999997,399.4
2026-07-31T20:30:26.156+00:00,1785529824381,62925.35,62935.35,1785529824702,62995.149999999994,62995.1,62995.2,1.47223063,2.87322643,1.6711908500000003,3.17726666,349.1
2026-07-31T20:30:28.548+00:00,1785529826465,62934.7,62944.7,1785529827102,62999.95,62999.9,63000.0,4.88381803,0.89050308,5.8297069399999994,1.41115828,388.5
2026-07-31T20:30:30.897+00:00,1785529828566,62933.22,62943.22,1785529829452,62999.95,62999.9,63000.0,4.82381803,0.88126658,5.76967716,1.41035956,347.6
2026-07-31T20:30:33.240+00:00,1785529830875,62933.36,62943.36,1785529831802,62999.95,62999.9,63000.0,4.88008803,0.90604508,5.825947159999999,1.0749450800000002,339.0
2026-07-31T20:30:35.595+00:00,1785529833401,62932.59,62942.59,1785529834152,62999.95,62999.9,63000.0,4.91055247,1.30595384,5.82626097,1.51414071,344.4
2026-07-31T20:30:37.939+00:00,1785529835494,62931.93,62941.93,1785529836502,62999.95,62999.9,63000.0,4.37395688,1.60595384,5.28966538,2.19155096,340.8
2026-07-31T20:30:40.345+00:00,1785529838517,62929.68,62939.68,1785529838902,62999.95,62999.9,63000.0,4.37395688,1.60595384,5.28966538,2.2436529899999997,392.4
2026-07-31T20:30:42.699+00:00,1785529840713,62929.05,62939.05,1785529841252,62999.95,62999.9,63000.0,3.09462595,1.61577634,3.4586011300000004,2.25347549,347.1
2026-07-31T20:30:45.052+00:00,1785529843091,62931.11,62941.11,1785529843602,62999.95,62999.9,63000.0,3.05762529,1.61577634,3.3905083300000003,2.25347549,352.6
2026-07-31T20:30:47.400+00:00,1785529845250,62932.0,62942.0,1785529845952,62999.95,62999.9,63000.0,2.92377008,1.61570444,3.8223544499999997,2.25340359,345.2
2026-07-31T20:30:49.748+00:00,1785529847456,62928.47,62938.47,1785529848302,62999.95,62999.9,63000.0,2.86377008,2.30304523,3.7623544499999997,2.9407443799999995,344.8
2026-07-31T20:30:52.147+00:00,1785529849651,62928.56,62938.56,1785529850702,62999.95,62999.9,63000.0,2.86377008,2.21015698,3.7623544499999997,2.8478561299999994,397.6
2026-07-31T20:30:54.503+00:00,1785529852708,62931.68,62941.68,1785529853052,62999.95,62999.9,63000.0,1.23886153,2.59095691,1.66272923,3.2286560599999996,353.6
2026-07-31T20:30:56.858+00:00,1785529855029,62931.59,62941.59,1785529855402,62999.95,62999.9,63000.0,0.83203389,2.59127739,1.67772546,3.2289765399999997,353.6
2026-07-31T20:30:59.202+00:00,1785529857445,62931.49,62941.49,1785529857752,62999.95,62999.9,63000.0,1.05195437,2.59127739,1.47925031,3.2289765399999997,340.8
2026-07-31T20:31:01.553+00:00,1785529859483,62930.31,62940.31,1785529860102,62999.95,62999.9,63000.0,1.62351562,2.22765684,2.06335756,2.7212643299999995,350.3
2026-07-31T20:31:03.905+00:00,1785529862378,62927.08,62937.08,1785529862452,62999.95,62999.9,63000.0,0.00694017,2.71046261,0.27390703,3.3481737999999996,348.9
2026-07-31T20:31:06.249+00:00,1785529863824,62904.33,62914.33,1785529864802,62982.850000000006,62982.8,62982.9,0.01948285,4.50426988,1.47202375,4.758509009999998,340.9
2026-07-31T20:31:08.633+00:00,1785529866289,62903.28,62913.28,1785529867152,62977.45,62977.4,62977.5,0.01320424,3.49013715,0.39513014,3.94401219,383.6
2026-07-31T20:31:11.012+00:00,1785529869404,62906.27,62916.27,1785529869552,62981.75,62981.7,62981.8,5.41215847,0.84187079,6.8789655,1.53827592,376.8
2026-07-31T20:31:13.349+00:00,1785529871687,62919.59,62929.59,1785529871902,62982.850000000006,62982.8,62982.9,7.09597965,0.40832357,8.06130327,1.01858757,335.9
2026-07-31T20:31:15.705+00:00,1785529873218,62921.47,62931.47,1785529874252,62992.350000000006,62992.3,62992.4,3.92169759,1.45822617,4.725890199999999,1.6929668900000001,347.3
2026-07-31T20:31:18.041+00:00,1785529875819,62922.1,62932.1,1785529876602,62992.350000000006,62992.3,62992.4,3.19201812,1.13076696,3.5520768400000002,1.31806309,334.8
2026-07-31T20:31:20.402+00:00,1785529878107,62919.63,62929.63,1785529878952,62992.350000000006,62992.3,62992.4,3.1912997,1.62996211,3.60196129,1.81725824,347.4
2026-07-31T20:31:22.802+00:00,1785529881246,62918.72,62928.72,1785529881352,62992.350000000006,62992.3,62992.4,3.2512997,1.0702348,3.6619612900000003,1.3143254699999998,398.9
2026-07-31T20:31:25.150+00:00,1785529883656,62912.08,62922.08,1785529883702,62992.350000000006,62992.3,62992.4,0.87070441,2.61812583,1.12643873,2.63589027,346.5
2026-07-31T20:31:27.507+00:00,1785529885416,62934.29,62944.29,1785529886052,63007.649999999994,63007.6,63007.7,1.09121568,2.548634,1.61071949,2.6279906499999997,350.9
2026-07-31T20:31:29.850+00:00,1785529887509,62936.05,62946.05,1785529888402,63007.649999999994,63007.6,63007.7,2.36665749,0.90495241,2.6927290200000003,1.10642778,341.2
2026-07-31T20:31:32.198+00:00,1785529890677,62935.94,62945.94,1785529890752,63007.649999999994,63007.6,63007.7,1.56465749,1.8794932,1.9272060100000001,2.08356633,345.3
2026-07-31T20:31:34.548+00:00,1785529892785,62934.86,62944.86,1785529893102,63007.649999999994,63007.6,63007.7,2.06665749,1.0774932,2.4281323199999996,1.28156633,347.9
2026-07-31T20:31:36.888+00:00,1785529894925,62937.25,62947.25,1785529895452,63007.649999999994,63007.6,63007.7,2.20465749,1.0774932,2.51382113,1.28156633,337.0
2026-07-31T20:31:39.249+00:00,1785529897156,62936.86,62946.86,1785529897802,63007.649999999994,63007.6,63007.7,1.56465749,2.20701576,1.9227180800000003,2.41108889,348.8
2026-07-31T20:31:41.602+00:00,1785529899224,62937.68,62947.68,1785529900152,63007.649999999994,63007.6,63007.7,2.08465749,2.20701576,2.60695833,2.41108889,349.4
2026-07-31T20:31:43.951+00:00,1785529901485,62938.58,62948.58,1785529902502,63007.649999999994,63007.6,63007.7,1.56465749,2.35386358,2.0869583300000003,2.44225345,347.0
2026-07-31T20:31:46.301+00:00,1785529904671,62937.12,62947.12,1785529904852,63007.649999999994,63007.6,63007.7,1.78465749,2.19186358,2.30695833,2.28025345,347.8
2026-07-31T20:31:48.649+00:00,1785529906724,62938.11,62948.11,1785529907202,63007.649999999994,63007.6,63007.7,1.56465749,2.07282413,2.0869583300000003,2.1612139999999997,346.4
2026-07-31T20:31:51.012+00:00,1785529908731,62939.91,62949.91,1785529909552,63001.55,63001.5,63001.6,1.00557944,2.57629111,1.2872958799999998,3.0562350200000004,360.6
2026-07-31T20:31:53.354+00:00,1785529911669,62925.22,62935.22,1785529911902,63005.55,63005.5,63005.6,3.49039088,1.30958411,5.78827503,1.94341931,331.3
2026-07-31T20:31:55.702+00:00,1785529914051,62931.95,62941.95,1785529914252,63005.55,63005.5,63005.6,1.00160405,2.70419919,1.2874163300000003,3.39630711,346.9
2026-07-31T20:31:58.053+00:00,1785529915144,62931.82,62941.82,1785529916602,63005.55,63005.5,63005.6,0.83366326,2.6642035,1.0601616,3.2963338099999997,349.4
2026-07-31T20:32:00.403+00:00,1785529918516,62915.48,62925.48,1785529918952,62992.350000000006,62992.3,62992.4,0.93312559,4.14599295,1.7943459700000002,4.51519303,347.7
2026-07-31T20:32:02.752+00:00,1785529920508,62916.68,62926.68,1785529921302,62992.350000000006,62992.3,62992.4,0.86949559,4.14599295,1.0852982500000001,4.51519303,347.0
2026-07-31T20:32:05.102+00:00,1785529922766,62921.74,62931.74,1785529923652,62992.350000000006,62992.3,62992.4,1.04203638,4.14449295,1.3036923,4.51369303,348.5
2026-07-31T20:32:07.447+00:00,1785529925695,62921.79,62931.79,1785529926002,62992.350000000006,62992.3,62992.4,1.04060434,4.14349295,1.30226026,4.512693029999999,342.6
2026-07-31T20:32:09.850+00:00,1785529928303,62916.55,62926.55,1785529928402,62989.45,62989.4,62989.5,0.88324608,4.01886026,1.0352749,4.082273440000001,396.5
2026-07-31T20:32:12.253+00:00,1785529930335,62916.99,62926.99,1785529930802,62989.45,62989.4,62989.5,1.05581729,3.86689068,1.26173204,3.9736729800000004,400.0
2026-07-31T20:32:14.600+00:00,1785529932507,62917.06,62927.06,1785529933152,62989.45,62989.4,62989.5,1.05581729,3.86689068,1.20546591,3.9736729800000004,344.3
2026-07-31T20:32:16.953+00:00,1785529934677,62917.16,62927.16,1785529935502,62989.45,62989.4,62989.5,1.00522665,3.63380909,1.2017181,3.7405913900000005,350.7
2026-07-31T20:32:19.296+00:00,1785529936776,62917.22,62927.22,1785529937852,62989.45,62989.4,62989.5,1.00522665,3.57660006,1.25798423,3.6545174800000004,332.9
2026-07-31T20:32:21.651+00:00,1785529940122,62917.32,62927.32,1785529940202,62989.45,62989.4,62989.5,1.00522665,3.6947931,1.25798423,3.7727105200000004,348.0
2026-07-31T20:32:24.001+00:00,1785529942281,62917.39,62927.39,1785529942552,62989.45,62989.4,62989.5,1.00522665,3.14847702,1.25798423,3.2263944400000004,345.9
2026-07-31T20:32:26.348+00:00,1785529943323,62917.42,62927.42,1785529944902,62989.45,62989.4,62989.5,1.90160384,1.65748726,2.16211089,1.7019080199999999,342.3
2026-07-31T20:32:28.703+00:00,1785529946579,62917.52,62927.52,1785529947252,62989.45,62989.4,62989.5,1.74134164,2.28168775,2.0018486899999997,2.3596051700000005,349.2
2026-07-31T20:32:31.054+00:00,1785529948627,62921.98,62931.98,1785529949602,62989.45,62989.4,62989.5,1.57934164,2.58168775,1.83984869,3.01093894,348.7
2026-07-31T20:32:33.404+00:00,1785529951777,62922.08,62932.08,1785529951952,62989.45,62989.4,62989.5,1.00376445,2.57631792,1.4229301200000002,3.02418167,347.8
2026-07-31T20:32:35.754+00:00,1785529953839,62922.0,62932.0,1785529954302,62989.45,62989.4,62989.5,1.00376445,2.57423973,1.4229301200000002,3.0234175399999996,346.8
2026-07-31T20:32:38.104+00:00,1785529956045,62922.21,62932.21,1785529956652,62989.45,62989.4,62989.5,1.58715041,1.93413763,1.85869609,2.32610466,347.2
2026-07-31T20:32:40.451+00:00,1785529958093,62921.61,62931.61,1785529959002,62989.45,62989.4,62989.5,1.24564164,2.57323383,1.5171873200000001,2.96523625,344.6
2026-07-31T20:32:42.849+00:00,1785529961217,62921.17,62931.17,1785529961402,62989.45,62989.4,62989.5,1.40764164,2.56993383,1.67918732,2.96187464,396.1
2026-07-31T20:32:45.201+00:00,1785529963284,62921.53,62931.53,1785529963752,62989.45,62989.4,62989.5,1.40858404,2.56993383,1.68012972,2.96187458,345.3
2026-07-31T20:32:47.554+00:00,1785529965145,62929.56,62939.56,1785529966102,62989.45,62989.4,62989.5,2.36301054,0.71062321,2.9352498899999997,1.2030546299999998,350.5
2026-07-31T20:32:49.901+00:00,1785529968251,62929.26,62939.26,1785529968452,62989.45,62989.4,62989.5,2.59670054,0.71127312,3.23244258,1.22661686,342.5
2026-07-31T20:32:52.253+00:00,1785529970431,62927.91,62937.91,1785529970802,62989.45,62989.4,62989.5,2.59486721,0.71127312,3.2306092499999997,1.22661686,346.5
2026-07-31T20:32:54.601+00:00,1785529972460,62928.85,62938.85,1785529973152,62989.45,62989.4,62989.5,2.59486721,0.71127312,3.2306092499999997,1.2209208999999999,342.9
2026-07-31T20:32:56.955+00:00,1785529974570,62928.79,62938.79,1785529975502,62989.45,62989.4,62989.5,2.59486721,0.71127312,3.2306092499999997,1.1759306399999998,351.2
2026-07-31T20:32:59.299+00:00,1785529977669,62928.74,62938.74,1785529977852,62993.25,62993.2,62993.3,3.13555729,1.16804996,4.34766759,1.30893865,341.9
2026-07-31T20:33:01.704+00:00,1785529979714,62928.15,62938.15,1785529980252,62993.25,62993.2,62993.3,3.1276171,1.16804996,4.3397274,1.30960971,399.4
2026-07-31T20:33:04.057+00:00,1785529981974,62925.66,62935.66,1785529982602,62999.55,62999.5,62999.6,3.47481658,1.22940566,3.8706582800000007,1.2296190000000002,347.6
2026-07-31T20:33:06.453+00:00,1785529984855,62936.97,62946.97,1785529985002,62999.55,62999.5,62999.6,4.22432518,0.09108261,4.9341913,0.29377086999999996,395.8
2026-07-31T20:33:08.804+00:00,1785529986896,62938.38,62948.38,1785529987352,62999.55,62999.5,62999.6,4.22442995,0.07704461,4.93429607,0.26823066,344.2
2026-07-31T20:33:11.157+00:00,1785529989064,62935.63,62945.63,1785529989702,62999.55,62999.5,62999.6,1.65714135,1.75694706,1.87058467,1.9328398499999997,352.5
2026-07-31T20:33:13.556+00:00,1785529991124,62926.15,62936.15,1785529992102,62999.55,62999.5,62999.6,1.5418411,1.75694706,1.74590602,1.9328398499999997,397.2
2026-07-31T20:33:15.902+00:00,1785529994296,62928.54,62938.54,1785529994452,62999.55,62999.5,62999.6,1.876288,1.75678833,2.14125037,1.9326811199999998,339.8
2026-07-31T20:33:18.304+00:00,1785529995825,62936.08,62946.08,1785529996852,62999.55,62999.5,62999.6,2.60445953,0.90260476,2.84121929,1.06305008,399.5
2026-07-31T20:33:20.655+00:00,1785529998186,62935.76,62945.76,1785529999202,63000.649999999994,63000.6,63000.7,5.57160646,0.13548425,7.12204544,0.26804322,347.9
2026-07-31T20:33:23.063+00:00,1785530001426,62934.44,62944.44,1785530001602,63000.649999999994,63000.6,63000.7,5.57041477,0.13532553,5.91843933,0.26454656,405.1
2026-07-31T20:33:25.402+00:00,1785530003624,62935.42,62945.42,1785530003952,63000.649999999994,63000.6,63000.7,5.57041477,0.13443081,5.93780073,0.28804850000000004,337.4
2026-07-31T20:33:27.752+00:00,1785530005712,62935.37,62945.37,1785530006302,63003.350000000006,63003.3,63003.4,5.90553964,1.1325829,7.5675272300000005,1.66306398,348.8
2026-07-31T20:33:30.155+00:00,1785530005712,62935.37,62945.37,1785530008702,63003.350000000006,63003.3,63003.4,4.72095555,1.76438354,5.90652032,1.8960326900000002,400.6
2026-07-31T20:33:32.503+00:00,1785530010006,62935.48,62945.48,1785530011052,63003.350000000006,63003.3,63003.4,4.72095555,1.76438354,5.90766115,2.2951428000000003,345.8
2026-07-31T20:33:34.854+00:00,1785530013286,62938.37,62948.37,1785530013402,63003.350000000006,63003.3,63003.4,4.94095555,0.27876361,5.632981190000001,0.57879044,347.7
