time_msc,time,bid,ask,last,volume,flags
1785974399045,1785974399,64599.91,64609.91,0.0,0,6
1785974400176,1785974400,64599.91,64609.91,0.0,0,6
1785974400754,1785974400,64600.56,64610.56,0.0,0,6
1785974401032,1785974401,64602.38,64612.38,0.0,0,6
1785974401601,1785974401,64602.99,64612.99,0.0,0,6
1785974401884,1785974401,64604.78,64614.78,0.0,0,6
1785974402887,1785974402,64601.78,64611.78,0.0,0,6
1785974403892,1785974403,64602.42,64612.42,0.0,0,6
1785974404205,1785974404,64604.72,64614.72,0.0,0,6
1785974404839,1785974404,64606.34,64616.34,0.0,0,6
1785974404852,1785974404,64608.99,64618.99,0.0,0,6
1785974405867,1785974405,64609.17,64619.17,0.0,0,6
1785974406906,1785974406,64608.95,64618.95,0.0,0,6
1785974407481,1785974407,64608.91,64618.91,0.0,0,6
1785974407491,1785974407,64601.86,64611.86,0.0,0,6
1785974407545,1785974407,64599.14,64609.14,0.0,0,6
1785974408553,1785974408,64599.22,64609.22,0.0,0,6
1785974411801,1785974411,64612.23,64622.23,0.0,0,6
1785974412801,1785974412,64611.51,64621.51,0.0,0,6
1785974413820,1785974413,64612.76,64622.76,0.0,0,6
1785974414895,1785974414,64615.15,64625.15,0.0,0,6
1785974417053,1785974417,64615.16,64625.16,0.0,0,6
1785974417331,1785974417,64609.87,64619.87,0.0,0,6
1785974417351,1785974417,64608.17,64618.17,0.0,0,6
1785974417411,1785974417,64606.27,64616.27,0.0,0,6
1785974417631,1785974417,64604.68,64614.68,0.0,0,6
1785974418689,1785974418,64604.69,64614.69,0.0,0,6
1785974418881,1785974418,64614.69,64624.69,0.0,0,6
1785974420987,1785974420,64611.67,64621.67,0.0,0,6
1785974422071,1785974422,64612.12,64622.12,0.0,0,6
1785974423049,1785974423,64611.23,64621.23,0.0,0,6
1785974423072,1785974423,64605.07,64615.07,0.0,0,6
1785974423100,1785974423,64602.28,64612.28,0.0,0,6
1785974423113,1785974423,64600.68,64610.68,0.0,0,6
1785974424156,1785974424,64600.6,64610.6,0.0,0,6
1785974425173,1785974425,64600.8,64610.8,0.0,0,6
1785974426226,1785974426,64602.3,64612.3,0.0,0,6
1785974427230,1785974427,64602.07,64612.07,0.0,0,6
1785974428316,1785974428,64602.57,64612.57,0.0,0,6
1785974429371,1785974429,64602.69,64612.69,0.0,0,6
