time,open,high,low,close,tick_volume,spread,real_volume
1785407280,64527.32,64535.22,64526.73,64531.08,49,1000,0
1785407340,64531.09,64533.47,64529.15,64529.34,41,1000,0
1785407400,64530.14,64532.85,64526.19,64531.14,54,1000,0
1785407460,64530.58,64531.74,64520.51,64530.79,52,1000,0
1785407520,64530.79,64534.76,64492.01,64500.16,68,1000,0
1785407580,64500.19,64515.14,64492.44,64496.98,63,1000,0
1785407640,64497.12,64504.24,64488.16,64501.77,59,1000,0
1785407700,64501.33,64503.9,64480.84,64483.78,61,1000,0
1785407760,64483.86,64489.13,64473.52,64477.25,59,1000,0
1785407820,64476.45,64488.51,64470.98,64471.49,62,1000,0
1785407880,64472.31,64492.67,64472.31,64474.7,64,1000,0
1785407940,64476.13,64490.66,64474.18,64488.03,62,1000,0
1785408000,64487.27,64517.77,64481.05,64511.78,67,1000,0
1785408060,64511.05,64520.17,64490.54,64505.37,65,1000,0
1785408120,64506.32,64516.85,64497.88,64499.77,59,1000,0
1785408180,64499.87,64546.16,64499.87,64544.23,69,1000,0
1785408240,64546.16,64546.16,64520.45,64520.45,62,1000,0
1785408300,64521.64,64537.42,64520.34,64532.77,55,1000,0
1785408360,64532.74,64534.0,64514.28,64525.26,61,1000,0
1785408420,64523.72,64528.93,64520.84,64525.58,58,1000,0
1785408480,64525.72,64532.59,64518.62,64520.09,55,1000,0
1785408540,64520.08,64522.98,64499.46,64499.57,65,1000,0
1785408600,64499.43,64519.95,64499.26,64514.02,65,1000,0
1785408660,64507.84,64508.63,64481.2,64490.85,67,1000,0
1785408720,64489.78,64496.9,64489.27,64493.02,54,1000,0
1785408780,64492.66,64497.89,64492.66,64496.41,50,1000,0
1785408840,64496.41,64496.41,64476.75,64477.74,65,1000,0
1785408900,64476.99,64489.9,64476.99,64489.9,56,1000,0
1785408960,64490.38,64500.29,64482.15,64498.08,61,1000,0
1785409020,64498.51,64499.03,64487.69,64488.23,54,1000,0
1785409080,64488.65,64498.94,64487.24,64494.96,55,1000,0
1785409140,64495.01,64495.12,64478.51,64478.64,54,1000,0
1785409200,64484.71,64491.8,64463.59,64476.5,66,1000,0
1785409260,64475.46,64475.46,64446.22,64455.65,67,1000,0
1785409320,64455.85,64461.97,64445.29,64445.38,55,1000,0
1785409380,64445.42,64456.95,64442.28,64444.98,51,1000,0
1785409440,64443.01,64499.09,64443.01,64495.23,59,1000,0
1785409500,64496.27,64496.27,64470.71,64471.09,64,1000,0
1785409560,64470.27,64487.8,64470.27,64487.63,59,1000,0
1785409620,64487.5,64498.48,64480.56,64494.75,60,1000,0
1785409680,64494.69,64516.84,64490.79,64506.61,56,1000,0
1785409740,64505.26,64542.02,64503.88,64539.28,60,1000,0
1785409800,64539.65,64545.71,64530.69,64544.18,54,1000,0
1785409860,64545.15,64545.15,64522.03,64530.44,52,1000,0
1785409920,64530.49,64548.28,64530.49,64541.39,60,1000,0
1785409980,64538.12,64538.12,64508.98,64517.28,65,1000,0
1785410040,64517.21,64524.6,64516.7,64519.31,55,1000,0
1785410100,64518.3,64526.37,64517.68,64526.37,55,1000,0
1785410160,64530.84,64540.38,64524.89,64540.38,59,1000,0
1785410220,64540.87,64583.94,64540.03,64557.29,77,1000,0
1785410280,64559.45,64588.87,64555.23,64558.88,71,1000,0
1785410340,64558.84,64560.14,64531.47,64531.82,62,1000,0
1785410400,64529.41,64529.41,64511.44,64514.33,63,1000,0
1785410460,64512.37,64512.37,64483.8,64495.2,67,1000,0
1785410520,64495.21,64500.25,64479.84,64500.2,54,1000,0
1785410580,64500.18,64504.04,64487.16,64503.91,56,1000,0
1785410640,64503.87,64515.82,64493.85,64512.14,60,1000,0
1785410700,64517.33,64524.81,64491.78,64495.34,64,1000,0
1785410760,64495.25,64498.68,64490.7,64491.56,52,1000,0
1785410820,64491.76,64494.39,64477.83,64490.41,58,1000,0
1785410880,64490.82,64494.4,64487.92,64494.4,54,1000,0
1785410940,64493.7,64497.13,64489.93,64497.13,51,1000,0
1785411000,64497.13,64497.13,64489.17,64489.18,55,1000,0
1785411060,64489.18,64502.81,64489.17,64492.6,43,1000,0
1785411120,64491.72,64493.71,64479.92,64479.92,58,1000,0
1785411180,64478.54,64480.79,64470.68,64480.08,59,1000,0
1785411240,64479.48,64479.48,64457.4,64470.83,63,1000,0
1785411300,64470.84,64478.99,64470.84,64471.96,59,1000,0
1785411360,64474.48,64554.94,64474.48,64538.66,97,1000,0
1785411420,64538.64,64621.92,64538.64,64595.69,80,1000,0
1785411480,64598.06,64629.62,64592.77,64609.41,97,1000,0
1785411540,64609.44,64609.53,64562.15,64562.15,77,1000,0
1785411600,64564.59,64574.98,64562.13,64568.4,54,1000,0
1785411660,64570.38,64587.77,64570.38,64572.42,66,1000,0
1785411720,64574.22,64574.9,64560.29,64562.36,57,1000,0
1785411780,64562.37,64587.16,64562.37,64586.75,62,1000,0
1785411840,64585.53,64585.93,64572.2,64579.26,56,1000,0
1785411900,64579.71,64585.44,64571.37,64585.44,58,1000,0
1785411960,64587.98,64590.21,64559.19,64559.19,59,1000,0
1785412020,64559.18,64580.42,64559.13,64569.5,54,1000,0
1785412080,64570.48,64584.35,64570.37,64583.34,62,1000,0
1785412140,64583.85,64591.42,64583.09,64583.89,58,1000,0
1785412200,64588.94,64783.37,64588.85,64757.53,151,1000,0
1785412260,64757.46,64778.99,64732.54,64743.27,112,1000,0
