time_msc,time,bid,ask,last,volume,flags
1785715199474,1785715199,63501.19,63511.19,0.0,0,6
1785715200495,1785715200,63501.75,63511.75,0.0,0,6
1785715201593,1785715201,63504.55,63514.55,0.0,0,6
1785715202694,1785715202,63505.84,63515.84,0.0,0,6
1785715203290,1785715203,63503.01,63513.01,0.0,0,6
1785715203305,1785715203,63504.26,63514.26,0.0,0,6
1785715203361,1785715203,63505.78,63515.78,0.0,0,6
1785715203421,1785715203,63507.51,63517.51,0.0,0,6
1785715204296,1785715204,63511.11,63521.11,0.0,0,6
1785715204318,1785715204,63515.6,63525.6,0.0,0,6
1785715204367,1785715204,63522.72,63532.72,0.0,0,6
1785715204379,1785715204,63524.98,63534.98,0.0,0,6
1785715204400,1785715204,63526.59,63536.59,0.0,0,6
1785715204456,1785715204,63528.95,63538.95,0.0,0,6
1785715204720,1785715204,63527.58,63537.58,0.0,0,6
1785715204744,1785715204,63526.03,63536.03,0.0,0,6
1785715204804,1785715204,63516.87,63526.87,0.0,0,6
1785715205638,1785715205,63522.83,63532.83,0.0,0,6
1785715205677,1785715205,63524.62,63534.62,0.0,0,6
1785715206463,1785715206,63528.37,63538.37,0.0,0,6
1785715207522,1785715207,63523.25,63533.25,0.0,0,6
1785715208137,1785715208,63527.19,63537.19,0.0,0,6
1785715208148,1785715208,63524.72,63534.72,0.0,0,6
1785715208161,1785715208,63519.03,63529.03,0.0,0,6
1785715208479,1785715208,63516.75,63526.75,0.0,0,6
1785715208524,1785715208,63515.18,63525.18,0.0,0,6
1785715208703,1785715208,63510.6,63520.6,0.0,0,6
1785715208747,1785715208,63508.95,63518.95,0.0,0,6
1785715209217,1785715209,63502.49,63512.49,0.0,0,6
1785715209234,1785715209,63496.47,63506.47,0.0,0,6
1785715209288,1785715209,63488.52,63498.52,0.0,0,6
1785715209552,1785715209,63493.41,63503.41,0.0,0,6
1785715209575,1785715209,63497.06,63507.06,0.0,0,6
1785715210579,1785715210,63499.41,63509.41,0.0,0,6
1785715210622,1785715210,63507.46,63517.46,0.0,0,6
1785715211627,1785715211,63508.58,63518.58,0.0,0,6
1785715212526,1785715212,63508.15,63518.15,0.0,0,6
1785715212538,1785715212,63510.6,63520.6,0.0,0,6
1785715212642,1785715212,63512.22,63522.22,0.0,0,6
1785715213696,1785715213,63511.47,63521.47,0.0,0,6
1785715214736,1785715214,63511.02,63521.02,0.0,0,6
1785715215744,1785715215,63510.79,63520.79,0.0,0,6
1785715216004,1785715216,63512.2,63522.2,0.0,0,6
1785715216694,1785715216,63508.85,63518.85,0.0,0,6
1785715216719,1785715216,63503.1,63513.1,0.0,0,6
1785715216732,1785715216,63500.0,63510.0,0.0,0,6
1785715216823,1785715216,63498.31,63508.31,0.0,0,6
1785715216841,1785715216,63494.1,63504.1,0.0,0,6
1785715217727,1785715217,63491.32,63501.32,0.0,0,6
1785715218833,1785715218,63491.34,63501.34,0.0,0,6
1785715219821,1785715219,63491.45,63501.45,0.0,0,6
1785715219907,1785715219,63487.36,63497.36,0.0,0,6
1785715220600,1785715220,63489.89,63499.89,0.0,0,6
1785715221633,1785715221,63489.9,63499.9,0.0,0,6
1785715224833,1785715224,63489.91,63499.91,0.0,0,6
1785715225966,1785715225,63489.93,63499.93,0.0,0,6
1785715227003,1785715227,63489.94,63499.94,0.0,0,6
1785715227240,1785715227,63496.95,63506.95,0.0,0,6
1785715227268,1785715227,63498.59,63508.59,0.0,0,6
1785715227283,1785715227,63499.88,63509.88,0.0,0,6
1785715227296,1785715227,63501.78,63511.78,0.0,0,6
1785715228134,1785715228,63501.87,63511.87,0.0,0,6
1785715228876,1785715228,63502.18,63512.18,0.0,0,6
1785715228896,1785715228,63500.38,63510.38,0.0,0,6
1785715228925,1785715228,63492.13,63502.13,0.0,0,6
1785715229926,1785715229,63492.58,63502.58,0.0,0,6
1785715231005,1785715231,63492.91,63502.91,0.0,0,6
1785715231218,1785715231,63490.97,63500.97,0.0,0,6
1785715231296,1785715231,63489.01,63499.01,0.0,0,6
1785715232394,1785715232,63490.23,63500.23,0.0,0,6
1785715233418,1785715233,63487.42,63497.42,0.0,0,6
1785715233924,1785715233,63486.83,63496.83,0.0,0,6
1785715234566,1785715234,63486.42,63496.42,0.0,0,6
1785715235617,1785715235,63486.11,63496.11,0.0,0,6
1785715238637,1785715238,63486.1,63496.1,0.0,0,6
1785715238988,1785715238,63482.11,63492.11,0.0,0,6
1785715240033,1785715240,63481.64,63491.64,0.0,0,6
1785715241132,1785715241,63481.97,63491.97,0.0,0,6
1785715242454,1785715242,63481.67,63491.67,0.0,0,6
1785715243472,1785715243,63481.69,63491.69,0.0,0,6
1785715244743,1785715244,63481.7,63491.7,0.0,0,6
1785715245761,1785715245,63481.72,63491.72,0.0,0,6
1785715246764,1785715246,63481.73,63491.73,0.0,0,6
1785715247983,1785715247,63489.76,63499.76,0.0,0,6
1785715249280,1785715249,63489.82,63499.82,0.0,0,6
1785715250283,1785715250,63488.71,63498.71,0.0,0,6
1785715251294,1785715251,63484.86,63494.86,0.0,0,6
1785715252188,1785715252,63485.08,63495.08,0.0,0,6
1785715252198,1785715252,63483.18,63493.18,0.0,0,6
1785715253243,1785715253,63481.63,63491.63,0.0,0,6
1785715254067,1785715254,63475.84,63485.84,0.0,0,6
1785715254080,1785715254,63474.49,63484.49,0.0,0,6
1785715254095,1785715254,63473.14,63483.14,0.0,0,6
1785715254128,1785715254,63474.44,63484.44,0.0,0,6
1785715254201,1785715254,63471.91,63481.91,0.0,0,6
1785715255195,1785715255,63472.43,63482.43,0.0,0,6
1785715256005,1785715256,63466.58,63476.58,0.0,0,6
1785715256951,1785715256,63469.14,63479.14,0.0,0,6
1785715257687,1785715257,63469.99,63479.99,0.0,0,6
1785715257703,1785715257,63472.44,63482.44,0.0,0,6
1785715258922,1785715258,63467.67,63477.67,0.0,0,6
1785715259973,1785715259,63467.69,63477.69,0.0,0,6
1785715260546,1785715260,63467.93,63477.93,0.0,0,6
1785715260557,1785715260,63474.92,63484.92,0.0,0,6
1785715260577,1785715260,63477.8,63487.8,0.0,0,6
1785715261674,1785715261,63477.88,63487.88,0.0,0,6
1785715262050,1785715262,63469.82,63479.82,0.0,0,6
1785715263465,1785715263,63472.36,63482.36,0.0,0,6
1785715264472,1785715264,63473.28,63483.28,0.0,0,6
1785715265524,1785715265,63470.58,63480.58,0.0,0,6
1785715265583,1785715265,63479.26,63489.26,0.0,0,6
1785715265734,1785715265,63481.34,63491.34,0.0,0,6
1785715265747,1785715265,63483.63,63493.63,0.0,0,6
1785715266793,1785715266,63483.91,63493.91,0.0,0,6
1785715267148,1785715267,63490.66,63500.66,0.0,0,6
1785715267205,1785715267,63492.25,63502.25,0.0,0,6
1785715268125,1785715268,63491.1,63501.1,0.0,0,6
1785715269168,1785715269,63490.06,63500.06,0.0,0,6
1785715270183,1785715270,63487.67,63497.67,0.0,0,6
1785715270961,1785715270,63476.45,63486.45,0.0,0,6
1785715272023,1785715272,63480.06,63490.06,0.0,0,6
1785715272161,1785715272,63477.67,63487.67,0.0,0,6
1785715272489,1785715272,63484.72,63494.72,0.0,0,6
1785715272524,1785715272,63487.21,63497.21,0.0,0,6
1785715273605,1785715273,63488.19,63498.19,0.0,0,6
1785715274242,1785715274,63487.38,63497.38,0.0,0,6
1785715274268,1785715274,63488.88,63498.88,0.0,0,6
1785715274304,1785715274,63491.03,63501.03,0.0,0,6
1785715275324,1785715275,63489.91,63499.91,0.0,0,6
1785715276341,1785715276,63490.25,63500.25,0.0,0,6
1785715277262,1785715277,63488.93,63498.93,0.0,0,6
1785715278794,1785715278,63489.06,63499.06,0.0,0,6
1785715278846,1785715278,63492.25,63502.25,0.0,0,6
1785715279895,1785715279,63493.56,63503.56,0.0,0,6
1785715280896,1785715280,63492.93,63502.93,0.0,0,6
1785715280934,1785715280,63494.77,63504.77,0.0,0,6
1785715280976,1785715280,63496.49,63506.49,0.0,0,6
1785715281057,1785715281,63498.41,63508.41,0.0,0,6
1785715281276,1785715281,63500.38,63510.38,0.0,0,6
1785715281400,1785715281,63502.77,63512.77,0.0,0,6
1785715281451,1785715281,63505.57,63515.57,0.0,0,6
1785715281739,1785715281,63508.23,63518.23,0.0,0,6
1785715282774,1785715282,63511.99,63521.99,0.0,0,6
1785715283824,1785715283,63508.19,63518.19,0.0,0,6
1785715284548,1785715284,63511.71,63521.71,0.0,0,6
1785715284559,1785715284,63507.64,63517.64,0.0,0,6
1785715284575,1785715284,63498.99,63508.99,0.0,0,6
1785715284595,1785715284,63497.52,63507.52,0.0,0,6
1785715284616,1785715284,63494.7,63504.7,0.0,0,6
1785715284626,1785715284,63492.81,63502.81,0.0,0,6
1785715284647,1785715284,63491.26,63501.26,0.0,0,6
1785715284672,1785715284,63489.81,63499.81,0.0,0,6
1785715284707,1785715284,63488.51,63498.51,0.0,0,6
1785715285786,1785715285,63486.24,63496.24,0.0,0,6
1785715287069,1785715287,63487.14,63497.14,0.0,0,6
1785715288370,1785715288,63488.81,63498.81,0.0,0,6
1785715289033,1785715289,63487.76,63497.76,0.0,0,6
1785715289046,1785715289,63490.31,63500.31,0.0,0,6
1785715289060,1785715289,63496.8,63506.8,0.0,0,6
1785715289149,1785715289,63501.34,63511.34,0.0,0,6
1785715289780,1785715289,63505.0,63515.0,0.0,0,6
1785715289975,1785715289,63506.54,63516.54,0.0,0,6
1785715291077,1785715291,63508.88,63518.88,0.0,0,6
1785715291814,1785715291,63510.12,63520.12,0.0,0,6
1785715291835,1785715291,63512.82,63522.82,0.0,0,6
1785715292823,1785715292,63514.41,63524.41,0.0,0,6
1785715293822,1785715293,63512.97,63522.97,0.0,0,6
1785715294827,1785715294,63509.46,63519.46,0.0,0,6
1785715295783,1785715295,63507.41,63517.41,0.0,0,6
1785715295814,1785715295,63499.0,63509.0,0.0,0,6
1785715296826,1785715296,63498.99,63508.99,0.0,0,6
1785715296894,1785715296,63494.28,63504.28,0.0,0,6
1785715296929,1785715296,63492.68,63502.68,0.0,0,6
1785715296943,1785715296,63489.41,63499.41,0.0,0,6
