month,trades,net_usd,equity_after
2021-12,1,-12.09300000000002,966.9069999999999
2022-01,1,-13.61900000000005,953.2879999999999
2022-02,1,-12.318949670123363,940.9690503298765
2023-05,1,-12.045101958602704,928.9239483712738
2023-07,1,-12.75723970710626,916.1667086641676
2023-10,1,-11.624999999999996,904.5417086641676
2023-11,1,-11.45146047666732,893.0902481875003
2023-12,1,-10.522971407079416,882.5672767804208
2024-04,1,7.189864973207351,889.7571417536282
2024-05,1,-2.1561655643164745,887.6009761893117
2024-06,1,-9.794772133370124,877.8062040559416
2024-07,1,-9.275209824511325,868.5309942314303
2024-11,1,-7.505867588785245,861.0251266426451
2025-02,1,-12.430000000000053,848.595126642645
2025-07,1,-3.3200000000001006,845.275126642645
2025-09,1,24.792472400897417,870.0675990435424
2025-10,1,8.36069288901531,878.4282919325577
2025-12,1,20.372018928304946,898.8003108608626
2026-01,1,-8.927504744153882,889.8728061167087
2026-04,1,14.056522722333867,903.9293288390426
2026-05,1,10.49818162453878,914.4275104635814
2026-06,1,-11.366006030718033,903.0615044328633
